dataset,device,fp32_ms,int8_ms,speedup
ogbn-arxiv,CPU,6.1782,8.2315,0.7505557917754966
ogbn-arxiv,NPU,5.4287,7.7407,0.7013190021574276
ogbn-products,CPU,6.4363,8.0572,0.7988258948518095
ogbn-products,NPU,5.5196,8.154,0.6769193034093696
ogbn-proteins,CPU,5.8418,8.0996,0.7212454936046224
ogbn-proteins,NPU,5.7398,8.1538,0.7039417204248325
