mode,avg_latency_ms,std_latency_ms,p95_latency_ms,peak_memory_mb,cpu_utilization_pct,iterations,providers,fallback_to_cpu,profiling_json
baseline,8.359282000892563,5.113758169934281,12.516320003487634,722.48828125,1108.9,100,CPUExecutionProvider,True,C:\Users\yusuf\Projects\npu-graph-opt-benchmarking\results\scaling_sweep\runs\n512_e3584\MPNN_int8\run_01\baseline_profiling.json
optimized,6.688336000224808,3.519952540296074,9.54102499745204,722.48828125,1144.0,100,CPUExecutionProvider,True,C:\Users\yusuf\Projects\npu-graph-opt-benchmarking\results\scaling_sweep\runs\n512_e3584\MPNN_int8\run_01\optimized_profiling.json
