mode,avg_latency_ms,std_latency_ms,peak_memory_mb,cpu_utilization_pct,iterations,providers,profiling_json
baseline,8.525089999989177,0.8986113347343913,338.7890625,675.0,30,,C:\Users\yusuf\Projects\npu-graph-opt-benchmarking\results\hw_comparison\bert-tiny_int8\NPU\run_00\baseline_profiling.json
optimized,9.015343333334158,0.9214165499178952,338.7890625,763.6,30,,C:\Users\yusuf\Projects\npu-graph-opt-benchmarking\results\hw_comparison\bert-tiny_int8\NPU\run_00\optimized_profiling.json
