model,dataset,input_source,precision,params,params_mil,b_mean_ms,b_std_ms,b_min_ms,b_max_ms,b_ci_lower_ms,b_ci_upper_ms,o_mean_ms,o_std_ms,o_min_ms,o_max_ms,o_p95_ms,o_ci_lower_ms,o_ci_upper_ms,speedup,speedup_std,ai,flops,bytes_io,throughput_gflops,iterations,warmup_iterations,repeats,device,b_fallback_to_cpu,o_fallback_to_cpu,b_providers,o_providers,timestamp
APPNP_fp32,ogbn-arxiv,ogbn-arxiv,fp32,93272,0.093272,6.0529,0.3592,5.6983,6.4165,5.1607,6.9451,5.9153,0.1243,5.7797,6.0238,7.8076,5.6066,6.224,1.0233,0.0408,384.5141,2107138740,5480004,356.2179,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T12:45:14.286374
APPNP_int8,ogbn-arxiv,ogbn-arxiv,int8,93488,0.093488,5.1624,0.2557,4.9405,5.442,4.5273,5.7975,5.8765,0.8765,5.2204,6.8719,9.1417,3.6991,8.0539,0.8785,0.0678,146.7606,2108916548,14369769,358.8755,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T12:45:26.958897
APPNP_fp32,ogbn-arxiv,ogbn-arxiv,fp32,93272,0.093272,2.9391,0.1507,2.7969,3.097,2.5647,3.3134,2.9237,0.1116,2.84,3.0503,4.0602,2.6466,3.2008,1.0053,0.0143,384.5141,2107138740,5480004,720.7144,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:32:44.864801
APPNP_int8,ogbn-arxiv,ogbn-arxiv,int8,93488,0.093488,3.0463,0.1911,2.879,3.2545,2.5715,3.521,3.1538,0.1691,3.0342,3.3473,4.6596,2.7338,3.5738,0.9659,0.012,146.7606,2108916548,14369769,668.6857,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:33:26.083971
APPNP_fp32,ogbn-arxiv,ogbn-arxiv,fp32,93272,0.093272,4.5727,0.0537,4.5123,4.615,4.4393,4.7061,4.3788,0.0156,4.361,4.3902,5.431,4.3399,4.4176,1.0443,0.0117,384.5141,2107138740,5480004,481.218,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:38:05.609853
APPNP_int8,ogbn-arxiv,ogbn-arxiv,int8,93488,0.093488,4.7072,0.1586,4.5271,4.8257,4.3132,5.1012,4.7275,0.3114,4.5196,5.0855,5.7802,3.9538,5.5011,0.9957,0.0535,146.7606,2108916548,14369769,446.0993,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:38:15.969505
GAT_fp32,ogbn-arxiv,ogbn-arxiv,fp32,93430,0.09343,4.03,0.1397,3.8951,4.174,3.683,4.377,4.2174,0.2727,4.0444,4.5317,6.1195,3.54,4.8947,0.9556,0.0716,315.6025,2107285277,6677024,499.6671,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:41:34.267556
GATv2_fp32,ogbn-arxiv,ogbn-arxiv,fp32,185661,0.185661,5.1344,0.1116,5.0104,5.2268,4.8572,5.4115,4.8778,0.0092,4.8692,4.8876,6.3936,4.8548,4.9008,1.0526,0.0172,430.0944,4214213168,9798344,863.958,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:41:44.717543
GAT_fp32,ogbn-arxiv,ogbn-arxiv,fp32,93430,0.09343,2.8677,0.0919,2.7867,2.9675,2.6394,3.096,2.973,0.0428,2.9257,3.0091,4.1635,2.8666,3.0794,0.9646,0.0224,315.6025,2107285277,6677024,708.8048,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:45:08.767753
GATv2_fp32,ogbn-arxiv,ogbn-arxiv,fp32,185661,0.185661,2.9064,0.1761,2.7178,3.0666,2.4688,3.344,2.8991,0.1304,2.8169,3.0494,3.9638,2.5753,3.223,1.0025,0.0335,430.0944,4214213168,9798344,1453.6149,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:45:24.117859
