mode,avg_latency_ms,std_latency_ms,p95_latency_ms,peak_memory_mb,cpu_utilization_pct,iterations,providers,fallback_to_cpu,profiling_json
baseline,6.865477999672294,4.271367676398403,15.90416000617551,722.48828125,1082.4,100,CPUExecutionProvider,True,C:\Users\yusuf\Projects\npu-graph-opt-benchmarking\results\scaling_sweep\runs\n512_e3584\MPNN_fp32\run_02\baseline_profiling.json
optimized,4.759787999500986,2.9108596681202616,6.482470007904339,722.48828125,1114.7,100,CPUExecutionProvider,True,C:\Users\yusuf\Projects\npu-graph-opt-benchmarking\results\scaling_sweep\runs\n512_e3584\MPNN_fp32\run_02\optimized_profiling.json
