mode,avg_latency_ms,std_latency_ms,p95_latency_ms,peak_memory_mb,cpu_utilization_pct,iterations,providers,fallback_to_cpu,profiling_json
baseline,6.932661000319058,0.6339208814304694,8.026260002225172,731.703125,753.5,100,OpenVINOExecutionProvider | CPUExecutionProvider,False,C:\Users\yusuf\Projects\npu-graph-opt-benchmarking\results\scaling_sweep\runs\n1024_e7168\APPNP_fp32\run_02\baseline_profiling.json
optimized,7.089577000151621,0.7802416537677621,8.766775007825345,731.703125,835.7,100,OpenVINOExecutionProvider | CPUExecutionProvider,False,C:\Users\yusuf\Projects\npu-graph-opt-benchmarking\results\scaling_sweep\runs\n1024_e7168\APPNP_fp32\run_02\optimized_profiling.json
