mode,avg_latency_ms,std_latency_ms,peak_memory_mb,cpu_utilization_pct,iterations,providers,profiling_json
baseline,10.817319999991545,1.030980313553094,206.8515625,773.8,30,,C:\Users\yusuf\Projects\npu-graph-opt-benchmarking\results\hw_comparison\GraphTransformer_fp32\CPU\run_00\baseline_profiling.json
optimized,11.625503333332668,2.308415734574707,211.39453125,790.3,30,,C:\Users\yusuf\Projects\npu-graph-opt-benchmarking\results\hw_comparison\GraphTransformer_fp32\CPU\run_00\optimized_profiling.json
