mode,avg_latency_ms,std_latency_ms,peak_memory_mb,cpu_utilization_pct,iterations,providers,profiling_json
baseline,9.850450999965688,1.117972866809888,477.20703125,688.1,100,,C:\Users\yusuf\Projects\npu-graph-opt-benchmarking\results\bert-tiny_int8\run_02\baseline_profiling.json
optimized,8.804629999940516,0.9154371719798559,477.20703125,669.4,100,,C:\Users\yusuf\Projects\npu-graph-opt-benchmarking\results\bert-tiny_int8\run_02\optimized_profiling.json
