model,dataset,device,precision,mean_ms,std_ms,p95_ms
GraphSAGE,ogbn-proteins,GPU,fp32,48.6354,0.0566,
GraphSAGE,ogbn-proteins,GPU,int8,35.9642,0.08,
GraphSAGE,ogbn-proteins,NPU,fp32,41.536,0.6392,
GraphSAGE,ogbn-proteins,NPU,int8,41.4492,0.278,
GraphTransformer,ogbn-arxiv,CPU,fp32,11.3034,0.8642,
GraphTransformer,ogbn-arxiv,CPU,int8,8.973,0.5173,
GraphTransformer,ogbn-arxiv,GPU,fp32,6.0835,0.3228,
GraphTransformer,ogbn-arxiv,GPU,int8,5.777,0.0707,
GraphTransformer,ogbn-arxiv,NPU,fp32,10.3048,0.437,
GraphTransformer,ogbn-arxiv,NPU,int8,8.8059,0.144,
GraphTransformer,ogbn-products,CPU,fp32,10.6634,0.2391,
GraphTransformer,ogbn-products,CPU,int8,8.8617,0.3454,
GraphTransformer,ogbn-products,GPU,fp32,6.1471,0.3668,
GraphTransformer,ogbn-products,GPU,int8,5.8506,0.0401,
GraphTransformer,ogbn-products,NPU,fp32,10.757,0.6504,
GraphTransformer,ogbn-products,NPU,int8,8.8329,0.1919,
GraphTransformer,ogbn-proteins,CPU,fp32,10.7221,0.6506,
GraphTransformer,ogbn-proteins,CPU,int8,8.7824,0.1736,
GraphTransformer,ogbn-proteins,GPU,fp32,5.9371,0.2413,
GraphTransformer,ogbn-proteins,GPU,int8,5.7112,0.0369,
GraphTransformer,ogbn-proteins,NPU,fp32,10.2596,0.2325,
GraphTransformer,ogbn-proteins,NPU,int8,8.7477,0.1033,
mobilenetv2,ogbn-arxiv,CPU,fp32,8.6475,0.4962,
mobilenetv2,ogbn-arxiv,CPU,int8,5.8388,0.351,
mobilenetv2,ogbn-arxiv,GPU,fp32,2.0448,0.0467,
mobilenetv2,ogbn-arxiv,GPU,int8,1.989,0.0132,
mobilenetv2,ogbn-arxiv,NPU,fp32,1.928,0.0389,
mobilenetv2,ogbn-arxiv,NPU,int8,5.3175,0.1384,
mobilenetv2,ogbn-products,CPU,fp32,8.2351,0.1184,
mobilenetv2,ogbn-products,CPU,int8,5.7946,0.5903,
mobilenetv2,ogbn-products,GPU,fp32,2.0023,0.0384,
mobilenetv2,ogbn-products,GPU,int8,2.0402,0.0501,
mobilenetv2,ogbn-products,NPU,fp32,1.8651,0.0815,
mobilenetv2,ogbn-products,NPU,int8,5.531,0.33,
mobilenetv2,ogbn-proteins,CPU,fp32,8.2694,0.2653,
mobilenetv2,ogbn-proteins,CPU,int8,5.8828,0.2838,
mobilenetv2,ogbn-proteins,GPU,fp32,2.0687,0.016,
mobilenetv2,ogbn-proteins,GPU,int8,1.9868,0.0061,
mobilenetv2,ogbn-proteins,NPU,fp32,1.9155,0.0549,
