SpMM/MatMul,MLP,Activation,Attention,Memory/Shape,Other,model,category
2.1052631578947367,0.0,1.0526315789473684,0.0,25.263157894736842,71.57894736842105,APPNP,GNN
18.27956989247312,0.0,1.0752688172043012,7.526881720430108,27.956989247311824,45.16129032258064,bert-tiny,GNN
0.41841004184100417,33.89121338912134,27.19665271966527,0.0,0.41841004184100417,38.07531380753138,efficientnet-b0,GNN
2.0618556701030926,0.0,1.0309278350515463,0.0,39.175257731958766,57.73195876288659,GAT,GNN
4.2105263157894735,0.0,1.0526315789473684,0.0,40.0,54.736842105263165,GATv2,GNN
2.73972602739726,0.0,1.36986301369863,0.0,32.87671232876712,63.013698630136986,GCN,GNN
17.391304347826086,0.0,13.043478260869565,0.0,26.08695652173913,43.47826086956522,GIN,GNN
13.333333333333334,0.0,3.3333333333333335,0.0,26.666666666666668,56.666666666666664,GraphSAGE,GNN
12.5,0.0,1.5625,0.0,40.625,45.3125,GraphTransformer,Transformer
0.0,34.83870967741935,23.225806451612904,0.0,0.6451612903225806,41.29032258064516,mobilenetv2,GNN
11.76470588235294,0.0,5.88235294117647,0.0,17.647058823529413,64.70588235294117,MPNN,GNN
0.5714285714285714,30.28571428571429,28.000000000000004,0.0,0.0,41.14285714285714,resnet50,GNN
2.083333333333333,0.0,0.0,0.0,33.33333333333333,64.58333333333334,SGC,GNN
21.41280353200883,0.22075055187637968,0.22075055187637968,8.167770419426049,30.022075055187635,39.95584988962472,vit-tiny,GNN
