dataset,device,fp32_ms,int8_ms,speedup
ogbn-arxiv,CPU,20.5383,32.3667,0.6345503248709321
ogbn-arxiv,GPU,19.9874,31.1309,0.6420437571673161
ogbn-products,CPU,21.4294,33.0272,0.6488409553337855
ogbn-products,GPU,18.6397,33.2003,0.5614316738101764
ogbn-proteins,CPU,19.9135,32.0327,0.6216616145376443
ogbn-proteins,GPU,20.8676,29.8428,0.6992507405471337
