device,latency_ms,std_ms,throughput_ips,peak_memory_mb,cpu_util_pct,status
CPU,36.35333332931623,0.0,27.507793877970887,646.88671875,718.4,ok
GPU,10.807213336617375,0.0,92.53079113482153,990.48046875,90.5,ok
NPU,4.7173166666955995,0.0,211.9849208046665,1223.1875,0.0,ok
