device,latency_ms,std_ms,throughput_ips,peak_memory_mb,cpu_util_pct
CPU,6.307841399946483,0.8713408488903968,158.5328381922355,253.20625,948.4200000000001
GPU,3.9087323999701766,0.3364893953442034,255.83741675629418,614.41640625,96.25999999999999
NPU,1.8351652000274044,0.13121774671241493,544.9100713031542,643.2578125,5.18
