mode,avg_latency_ms,std_latency_ms,p95_latency_ms,peak_memory_mb,cpu_utilization_pct,iterations,providers,fallback_to_cpu,profiling_json
baseline,70.27679900071234,16.9673867991239,95.29755000548903,1163.28515625,1076.1,100,CPUExecutionProvider,True,C:\Users\yusuf\Projects\npu-graph-opt-benchmarking\results\scaling_sweep\runs\n8192_e57344\MPNN_fp32\run_00\baseline_profiling.json
optimized,83.42512999966857,16.175031544566803,116.81327500918995,1251.6484375,1051.7,100,CPUExecutionProvider,True,C:\Users\yusuf\Projects\npu-graph-opt-benchmarking\results\scaling_sweep\runs\n8192_e57344\MPNN_fp32\run_00\optimized_profiling.json
