model,dataset,input_source,precision,params,params_mil,b_mean_ms,b_std_ms,b_min_ms,b_max_ms,b_ci_lower_ms,b_ci_upper_ms,o_mean_ms,o_std_ms,o_min_ms,o_max_ms,o_p95_ms,o_ci_lower_ms,o_ci_upper_ms,speedup,speedup_std,ai,flops,bytes_io,throughput_gflops,iterations,warmup_iterations,repeats,device,b_fallback_to_cpu,o_fallback_to_cpu,b_providers,o_providers,timestamp
APPNP_fp32,ogbn-arxiv,ogbn-arxiv,fp32,94296,0.094296,7.1213,0.4092,6.8775,7.5937,6.1049,8.1377,7.1697,0.1947,7.0153,7.3885,9.5041,6.686,7.6534,0.9932,0.0251,397.9961,4214277300,10588740,587.7887,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T12:52:43.424481
APPNP_int8,ogbn-arxiv,ogbn-arxiv,int8,94512,0.094512,8.9549,0.0292,8.9237,8.9814,8.8824,9.0273,8.9591,0.1159,8.8254,9.0309,14.0122,8.6712,9.247,0.9995,0.0129,151.1409,4217740612,27906025,470.7761,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T12:52:57.805985
APPNP_fp32,ogbn-arxiv,ogbn-arxiv,fp32,94296,0.094296,9.4733,0.366,9.1837,9.8847,8.564,10.3825,9.4535,0.1914,9.2957,9.6664,10.2475,8.9781,9.9289,1.0021,0.0431,397.9961,4214277300,10588740,445.7904,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:33:45.483137
APPNP_int8,ogbn-arxiv,ogbn-arxiv,int8,94512,0.094512,5.9643,0.1682,5.8422,6.1562,5.5465,6.3821,5.991,0.0141,5.9752,6.0022,7.3506,5.956,6.0259,0.9956,0.0228,151.1409,4217740612,27906025,704.0181,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:34:31.410473
APPNP_fp32,ogbn-arxiv,ogbn-arxiv,fp32,94296,0.094296,7.3442,0.3705,6.9327,7.6511,6.4239,8.2646,7.132,0.0874,7.074,7.2326,8.8153,6.9149,7.3492,1.0298,0.0366,397.9961,4214277300,10588740,590.8944,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:38:27.917141
APPNP_int8,ogbn-arxiv,ogbn-arxiv,int8,94512,0.094512,9.3509,0.0691,9.3057,9.4305,9.1793,9.5226,9.4022,0.2439,9.1216,9.5631,11.389,8.7964,10.008,0.9945,0.02,151.1409,4217740612,27906025,448.5913,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:38:41.248647
GAT_fp32,ogbn-arxiv,ogbn-arxiv,fp32,96502,0.096502,6.9036,0.1712,6.797,7.1011,6.4783,7.3289,6.7665,0.0723,6.6848,6.8221,8.7615,6.5869,6.9461,1.0203,0.0157,324.2634,4214570277,12997368,622.8581,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:41:56.555768
GATv2_fp32,ogbn-arxiv,ogbn-arxiv,fp32,188733,0.188733,8.376,0.1188,8.2423,8.4692,8.081,8.6711,8.3689,0.0535,8.3228,8.4276,10.8983,8.236,8.5018,1.0009,0.0096,446.6775,8428425784,18869152,1007.1143,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:42:09.387109
GAT_fp32,ogbn-arxiv,ogbn-arxiv,fp32,96502,0.096502,5.0096,0.0928,4.9256,5.1092,4.7791,5.2401,5.0917,0.0171,5.0795,5.1112,6.0606,5.0493,5.1341,0.9839,0.0123,324.2634,4214570277,12997368,827.7346,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:45:40.885344
GATv2_fp32,ogbn-arxiv,ogbn-arxiv,fp32,188733,0.188733,5.1474,0.0713,5.0667,5.2017,4.9704,5.3244,5.1636,0.0537,5.1187,5.2232,6.0414,5.0302,5.2971,0.9968,0.0191,446.6775,8428425784,18869152,1632.2626,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:45:57.884604
GAT_fp32,ogbn-arxiv,ogbn-arxiv,fp32,96502,0.096502,6.6288,0.102,6.5649,6.7464,6.3755,6.8822,6.7679,0.122,6.6881,6.9083,8.5754,6.4648,7.0709,0.9795,0.0221,324.2634,4214570277,12997368,622.7328,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:49:09.816856
