dataset,device,fp32_ms,int8_ms,speedup
ogbn-arxiv,CPU,15.7419,13.1076,1.2009750068662455
ogbn-arxiv,GPU,3.1228,3.2012,0.975509184055979
ogbn-arxiv,NPU,4.0429,12.8264,0.3152014594898023
ogbn-products,CPU,16.1321,13.6585,1.1811033422410955
ogbn-products,GPU,3.2227,3.3582,0.9596510035137872
ogbn-products,NPU,4.0118,12.7479,0.3147028137967822
ogbn-proteins,CPU,15.4361,13.9615,1.105619023743867
ogbn-proteins,GPU,3.2962,3.4093,0.9668260346698735
ogbn-proteins,NPU,4.1077,12.4829,0.3290661625103141
