mode,avg_latency_ms,std_latency_ms,p95_latency_ms,peak_memory_mb,cpu_utilization_pct,iterations,providers,fallback_to_cpu,profiling_json
baseline,69.51156200157129,16.48370289968731,101.88753500042367,1010.36328125,1075.5,100,CPUExecutionProvider,True,C:\Users\yusuf\Projects\npu-graph-opt-benchmarking\results\scaling_sweep\runs\n4096_e28672\MPNN_int8\run_00\baseline_profiling.json
optimized,73.11398700010614,18.550618695653966,103.16654500638832,1010.36328125,1055.9,100,CPUExecutionProvider,True,C:\Users\yusuf\Projects\npu-graph-opt-benchmarking\results\scaling_sweep\runs\n4096_e28672\MPNN_int8\run_00\optimized_profiling.json
