dataset,device,fp32_ms,int8_ms,speedup
ogbn-arxiv,CPU,8.3774,5.2061,1.609150803864697
ogbn-arxiv,GPU,2.074,2.0064,1.0336921850079743
ogbn-arxiv,NPU,1.8966,5.0945,0.3722838355088821
ogbn-products,CPU,8.6579,5.3772,1.610113069999256
ogbn-products,GPU,2.0461,1.9849,1.030832787545972
ogbn-products,NPU,1.8857,5.8709,0.3211943654294912
ogbn-proteins,CPU,8.7613,5.7919,1.5126815034789967
ogbn-proteins,GPU,2.0182,1.9622,1.02853939455713
ogbn-proteins,NPU,1.9262,5.1804,0.3718245695313103
