mode,avg_latency_ms,std_latency_ms,p95_latency_ms,peak_memory_mb,cpu_utilization_pct,iterations,providers,fallback_to_cpu,profiling_json
baseline,34.549605999782216,8.663936305247567,51.96809999761171,8187.09765625,1114.7,100,CPUExecutionProvider,True,C:\Users\yusuf\Projects\npu-graph-opt-benchmarking\results\MPNN\MPNN_int8\run_01\baseline_profiling.json
optimized,27.555856000399217,4.0444416300457116,35.76870999095263,8187.09765625,1152.4,100,CPUExecutionProvider,True,C:\Users\yusuf\Projects\npu-graph-opt-benchmarking\results\MPNN\MPNN_int8\run_01\optimized_profiling.json
