mode,avg_latency_ms,std_latency_ms,peak_memory_mb,cpu_utilization_pct,iterations,providers,profiling_json,status,reason
baseline,,,,,30,,,skipped,Intel Graphics Compiler (IGC) fatally crashes on INT8 GNN models; GPU skipped.
optimized,,,,,30,,,skipped,Intel Graphics Compiler (IGC) fatally crashes on INT8 GNN models; GPU skipped.
