model,dataset,device,precision,mean_ms,std_ms,p95_ms
GAT,ogbn-arxiv,CPU,fp32,10.5554,0.6245,12.8443
GAT,ogbn-arxiv,GPU,fp32,8.2535,0.0308,9.3384
GAT,ogbn-arxiv,NPU,fp32,10.0024,0.0194,12.8193
GAT,ogbn-products,CPU,fp32,10.4776,0.4499,13.2158
GAT,ogbn-products,GPU,fp32,8.4771,0.232,9.4399
GAT,ogbn-products,NPU,fp32,10.3921,0.6001,12.8994
GAT,ogbn-proteins,CPU,fp32,10.9013,0.2966,13.2429
GAT,ogbn-proteins,GPU,fp32,8.9345,0.1565,10.0358
GAT,ogbn-proteins,NPU,fp32,10.5526,0.8689,12.9777
