dataset,device,fp32_ms,int8_ms,speedup
ogbn-arxiv,NPU,7.6546,7.4511,1.027311403685362
ogbn-products,NPU,8.0198,7.7361,1.0366722250229443
ogbn-proteins,NPU,8.0593,7.5595,1.0661154838282956
