model,dataset,input_source,precision,params,params_mil,b_mean_ms,b_std_ms,b_min_ms,b_max_ms,b_ci_lower_ms,b_ci_upper_ms,o_mean_ms,o_std_ms,o_min_ms,o_max_ms,o_p95_ms,o_ci_lower_ms,o_ci_upper_ms,speedup,speedup_std,ai,flops,bytes_io,throughput_gflops,iterations,warmup_iterations,repeats,device,b_fallback_to_cpu,o_fallback_to_cpu,b_providers,o_providers,timestamp
APPNP_fp32,ogbn-arxiv,ogbn-arxiv,fp32,108632,0.108632,36.1989,0.3317,35.8597,36.5226,35.3749,37.0229,36.0323,1.011,35.2145,37.1627,39.717,33.5207,38.5438,1.0046,0.0158,410.593,33714217140,82111044,935.6673,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:31:06.943356
APPNP_int8,ogbn-arxiv,ogbn-arxiv,int8,108848,0.108848,46.3863,0.54,45.8841,46.9574,45.045,47.7277,45.5068,1.3159,44.0042,46.4536,49.0801,42.2379,48.7756,1.0193,0.0265,155.194,33741277508,217413609,741.4564,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:31:46.402201
APPNP_fp32,ogbn-arxiv,ogbn-arxiv,fp32,108632,0.108632,22.7106,0.2528,22.562,23.0024,22.0827,23.3385,22.5688,0.0582,22.533,22.6359,23.9293,22.4242,22.7133,1.0063,0.0104,410.593,33714217140,82111044,1493.8443,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:36:49.600354
APPNP_int8,ogbn-arxiv,ogbn-arxiv,int8,108848,0.108848,21.5513,0.3063,21.3005,21.8927,20.7904,22.3121,21.294,0.2315,21.0405,21.4942,22.6914,20.7189,21.8692,1.0121,0.0111,155.194,33741277508,217413609,1584.5418,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:37:39.850169
APPNP_fp32,ogbn-arxiv,ogbn-arxiv,fp32,108632,0.108632,36.4955,0.2015,36.2759,36.6721,35.9948,36.9961,36.5101,0.2206,36.3702,36.7643,39.0733,35.9621,37.058,0.9996,0.0036,410.593,33714217140,82111044,923.4229,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:40:30.499223
APPNP_int8,ogbn-arxiv,ogbn-arxiv,int8,108848,0.108848,46.2925,1.0086,45.6207,47.4523,43.7869,48.7981,46.3944,1.5759,44.9046,48.0442,50.9967,42.4797,50.3092,0.9978,0.0348,155.194,33741277508,217413609,727.2698,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:41:08.017738
GAT_fp32,ogbn-arxiv,ogbn-arxiv,fp32,125174,0.125174,33.833,0.3531,33.6283,34.2408,32.9557,34.7103,33.5186,0.1494,33.4107,33.6891,35.9369,33.1474,33.8897,1.0094,0.005,332.627,33716560165,101364472,1005.9072,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:43:52.604481
GATv2_fp32,ogbn-arxiv,ogbn-arxiv,fp32,217405,0.217405,43.8251,1.5283,42.0605,44.7184,40.0287,47.6216,43.5579,0.3092,43.2384,43.8558,49.3375,42.7897,44.3261,1.0061,0.0297,462.6467,67427402296,145742752,1547.9944,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:44:28.071611
GAT_fp32,ogbn-arxiv,ogbn-arxiv,fp32,125174,0.125174,22.3722,0.0719,22.3198,22.4541,22.1936,22.5507,22.3847,0.1843,22.1934,22.5611,24.532,21.9268,22.8426,0.9994,0.0093,332.627,33716560165,101364472,1506.2317,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:47:53.088622
GATv2_fp32,ogbn-arxiv,ogbn-arxiv,fp32,217405,0.217405,23.6186,0.0737,23.5354,23.6755,23.4356,23.8017,23.609,0.0237,23.5831,23.6296,24.9742,23.5501,23.6679,1.0004,0.0027,462.6467,67427402296,145742752,2855.9996,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:48:22.024149
