mode,avg_latency_ms,std_latency_ms,peak_memory_mb,cpu_utilization_pct,iterations,providers,profiling_json,status,reason
baseline,,,,,30,,,skipped,OpenVINO GPU backend fails for this model; GPU results are not supported.
optimized,,,,,30,,,skipped,OpenVINO GPU backend fails for this model; GPU results are not supported.
