operator,b_count,b_total_ms,b_avg_ms,o_count,o_total_ms,o_avg_ms,reduction_pct
OpenVINO-EP-subgraph_74,105.0,16875.287,160.71701904761906,0.0,0.0,0.0,100.0
model_loading_uri,1.0,4.322,4.322,1.0,2.85,2.85,34.05830633965756
model_run,105.0,16882.841,160.78896190476192,105.0,16984.429,161.75646666666668,-0.6017233710842845
Execute,105.0,16877.83,160.74123809523812,105.0,16979.832,161.7126857142857,-0.6043549437338613
session_initialization,1.0,213.486,213.486,1.0,224.59,224.59,-5.201277835548942
