dataset,device,fp32_ms,int8_ms,speedup
ogbn-arxiv,CPU,11.4207,12.4494,0.9173695117837004
ogbn-arxiv,GPU,7.6481,7.1666,1.067186671503921
ogbn-arxiv,NPU,11.2227,12.4417,0.9020230354372794
ogbn-products,CPU,12.2777,13.3087,0.9225318776439472
ogbn-products,GPU,8.4038,7.752,1.0840815273477813
ogbn-products,NPU,12.3473,12.9964,0.9500553999569112
ogbn-proteins,CPU,12.7573,13.7851,0.9254412372779306
ogbn-proteins,GPU,8.2233,7.5271,1.0924924605757862
ogbn-proteins,NPU,12.2245,13.761,0.8883438703582589
