dataset,device,fp32_ms,int8_ms,speedup
ogbn-arxiv,CPU,11.7533,9.4468,1.2441567514925689
ogbn-arxiv,GPU,6.4517,6.025,1.0708215767634854
ogbn-arxiv,NPU,11.5796,9.2148,1.2566306376698353
ogbn-products,CPU,11.3516,10.3686,1.0948054703624404
ogbn-products,GPU,6.4978,6.0929,1.0664543977416336
ogbn-products,NPU,11.4852,9.2858,1.2368562751728447
ogbn-proteins,CPU,11.5578,9.8604,1.1721431179262505
ogbn-proteins,GPU,6.4574,6.1731,1.046054656493496
ogbn-proteins,NPU,11.3305,9.6493,1.1742302550444075
