dataset,device,fp32_ms,int8_ms,speedup
ogbn-arxiv,CPU,43.6954,42.5428,1.0270927160412573
ogbn-arxiv,GPU,51.6546,36.516,1.4145744331252055
ogbn-arxiv,NPU,43.8499,42.5134,1.0314371468760437
ogbn-products,CPU,41.0843,39.9009,1.0296584788814287
ogbn-products,GPU,48.8968,36.3582,1.3448630570270257
ogbn-products,NPU,41.0089,39.336,1.0425284726459223
ogbn-proteins,CPU,41.4853,41.038,1.010899653979239
ogbn-proteins,GPU,48.6354,35.9642,1.3523281485477225
ogbn-proteins,NPU,41.536,41.4492,1.0020941296816346
