dataset,device,fp32_ms,int8_ms,speedup
ogbn-arxiv,CPU,31.5946,18.6721,1.6920753423557071
ogbn-arxiv,GPU,10.9171,6.0074,1.8172753603888538
ogbn-arxiv,NPU,3.9178,4.9941,0.7844856931178791
ogbn-products,CPU,31.5655,18.854,1.6742070648138327
ogbn-products,GPU,10.8379,5.7617,1.881024697571897
ogbn-products,NPU,3.9686,4.9936,0.7947372636975328
ogbn-proteins,CPU,31.2597,17.9601,1.7405081263467352
ogbn-proteins,GPU,10.8119,5.8544,1.8467989887947527
ogbn-proteins,NPU,3.9263,4.9544,0.7924874858711449
