device,avg_latency_ms,std_ms,throughput_ips,peak_memory_mb,cpu_util_pct,status
CPU,40.15779000000445,0.0,24.901768747729626,323.59375,678.0,ok
GPU,35.37359333332498,0.0,28.269675364247306,711.1953125,32.4,ok
NPU,39.033553333329486,0.0,25.61898455568308,711.1953125,715.9,ok
