dataset,device,fp32_ms,int8_ms,speedup
ogbn-arxiv,CPU,81.3713,176.6636,0.46060025947620226
ogbn-arxiv,GPU,60.765,60.9771,0.9965216450109959
ogbn-arxiv,NPU,80.2193,176.7996,0.45373009893687544
ogbn-products,CPU,77.3894,172.44,0.44879030387381114
ogbn-products,GPU,139.4814,138.605,1.006323004220627
ogbn-products,NPU,77.1444,171.8363,0.44894123069456227
ogbn-proteins,CPU,79.0161,172.8015,0.4572651279068758
ogbn-proteins,GPU,138.7962,137.5394,1.0091377452569954
ogbn-proteins,NPU,78.4069,173.0508,0.45308603022927363
