model,dataset,input_source,precision,params,params_mil,b_mean_ms,b_std_ms,b_min_ms,b_max_ms,b_ci_lower_ms,b_ci_upper_ms,o_mean_ms,o_std_ms,o_min_ms,o_max_ms,o_p95_ms,o_ci_lower_ms,o_ci_upper_ms,speedup,speedup_std,ai,flops,bytes_io,throughput_gflops,iterations,warmup_iterations,repeats,device,b_fallback_to_cpu,o_fallback_to_cpu,b_providers,o_providers,timestamp
APPNP_fp32,ogbn-arxiv,ogbn-arxiv,fp32,96344,0.096344,11.9531,0.1415,11.7992,12.0777,11.6015,12.3047,11.8443,0.3683,11.4272,12.1246,13.4298,10.9294,12.7592,1.0092,0.0181,405.098,8428554420,20806212,711.6138,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T13:06:27.089047
APPNP_int8,ogbn-arxiv,ogbn-arxiv,int8,96560,0.09656,15.0537,0.0588,15.017,15.1216,14.9076,15.1998,14.6206,0.3026,14.3818,14.9609,16.2081,13.8689,15.3723,1.0296,0.0198,153.4306,8435388740,54978537,576.9509,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T13:06:45.789413
APPNP_fp32,ogbn-arxiv,ogbn-arxiv,fp32,96344,0.096344,6.489,0.068,6.4109,6.5352,6.3201,6.6579,6.7138,0.159,6.5413,6.8545,7.8972,6.3189,7.1087,0.9665,0.026,405.098,8428554420,20806212,1255.4097,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:34:49.156950
APPNP_int8,ogbn-arxiv,ogbn-arxiv,int8,96560,0.09656,8.3812,0.1026,8.2835,8.4881,8.1263,8.6361,8.4956,0.1667,8.3299,8.6632,9.7345,8.0816,8.9096,0.9865,0.006,153.4306,8435388740,54978537,992.9117,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:35:24.566577
APPNP_fp32,ogbn-arxiv,ogbn-arxiv,fp32,96344,0.096344,12.382,0.1343,12.2944,12.5366,12.0485,12.7155,12.5051,0.1244,12.4009,12.6428,14.5573,12.196,12.8142,0.9902,0.0127,405.098,8428554420,20806212,674.012,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:38:56.417006
APPNP_int8,ogbn-arxiv,ogbn-arxiv,int8,96560,0.09656,16.2581,0.4186,15.988,16.7403,15.2184,17.2979,15.9699,0.099,15.8706,16.0685,17.7931,15.724,16.2158,1.018,0.0169,153.4306,8435388740,54978537,528.2051,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:39:14.250505
GAT_fp32,ogbn-arxiv,ogbn-arxiv,fp32,100598,0.100598,11.1379,0.0474,11.0832,11.1656,11.0202,11.2555,11.1896,0.0606,11.124,11.2434,14.1094,11.0391,11.34,0.9954,0.006,328.9903,8429140261,25621240,753.3035,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:42:24.036611
GATv2_fp32,ogbn-arxiv,ogbn-arxiv,fp32,192829,0.192829,13.8483,0.2237,13.6151,14.061,13.2927,14.4039,13.8805,0.2234,13.7158,14.1347,16.5991,13.3256,14.4353,0.9977,0.0195,455.6651,16856851000,36993952,1214.4299,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:42:40.389109
GAT_fp32,ogbn-arxiv,ogbn-arxiv,fp32,100598,0.100598,6.7127,0.0443,6.6842,6.7637,6.6026,6.8227,6.7167,0.0857,6.6295,6.8008,7.8541,6.5037,6.9296,0.9994,0.0068,328.9903,8429140261,25621240,1254.9619,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:46:16.216823
GATv2_fp32,ogbn-arxiv,ogbn-arxiv,fp32,192829,0.192829,6.8757,0.0564,6.8211,6.9337,6.7357,7.0157,6.7797,0.1239,6.6389,6.872,8.0761,6.4719,7.0875,1.0142,0.0174,455.6651,16856851000,36993952,2486.36,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:46:34.201660
GAT_fp32,ogbn-arxiv,ogbn-arxiv,fp32,100598,0.100598,11.0975,0.1425,10.9945,11.2602,10.7435,11.4516,11.1436,0.1668,11.0386,11.3359,13.2798,10.7292,11.5579,0.9959,0.0021,328.9903,8429140261,25621240,756.4125,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:49:36.934946
GATv2_fp32,ogbn-arxiv,ogbn-arxiv,fp32,192829,0.192829,13.4581,0.1173,13.3271,13.5536,13.1666,13.7496,13.5867,0.0844,13.4925,13.6554,15.4753,13.377,13.7963,0.9905,0.0037,455.6651,16856851000,36993952,1240.6918,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:49:52.942274
GCN_fp32,ogbn-arxiv,ogbn-arxiv,fp32,100441,0.100441,8.312,0.0536,8.2636,8.3696,8.1788,8.4452,8.2699,0.1191,8.1325,8.344,11.1542,7.974,8.5658,1.0051,0.0125,428.9739,8428540167,19648140,1019.1813,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:53:32.601957
GCN_int8,ogbn-arxiv,ogbn-arxiv,int8,100611,0.100611,8.0595,0.1049,7.9388,8.129,7.7989,8.3202,7.9479,0.1134,7.8197,8.035,10.6492,7.6662,8.2295,1.0141,0.019,161.2678,8435071389,52304745,1061.3019,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:53:45.458306
GCN_fp32,ogbn-arxiv,ogbn-arxiv,fp32,100441,0.100441,8.0542,0.1017,7.9485,8.1515,7.8014,8.3069,8.0772,0.1944,7.9431,8.3002,10.5943,7.5942,8.5601,0.9972,0.0225,428.9739,8428540167,19648140,1043.501,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:57:09.429057
GCN_int8,ogbn-arxiv,ogbn-arxiv,int8,100611,0.100611,8.0515,0.1578,7.8902,8.2056,7.6595,8.4434,8.0648,0.1778,7.9105,8.2593,9.9979,7.6231,8.5066,0.9983,0.0191,161.2678,8435071389,52304745,1045.9114,100,5,3,CPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T14:57:22.111902
GIN_fp32,ogbn-arxiv,ogbn-arxiv,fp32,100565,0.100565,57.1268,0.8494,56.5822,58.1055,55.0169,59.2367,57.8757,0.8915,57.2401,58.8949,67.3453,55.661,60.0904,0.9871,0.0205,13.1939,8517058560,645529712,147.1612,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T15:01:08.017364
GIN_int8,ogbn-arxiv,ogbn-arxiv,int8,100979,0.100979,56.5158,0.2609,56.3524,56.8168,55.8676,57.1641,56.1593,0.7255,55.3432,56.7311,64.2887,54.3571,57.9614,1.0063,0.0087,11.5254,8536078336,740629667,151.9976,100,5,3,NPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T15:01:51.147401
GIN_fp32,ogbn-arxiv,ogbn-arxiv,fp32,100565,0.100565,24.8814,0.0552,24.8418,24.9445,24.7443,25.0186,24.9555,0.0786,24.8866,25.0411,26.9264,24.7602,25.1508,0.997,0.0036,13.1939,8517058560,645529712,341.2894,100,5,3,GPU,False,False,OpenVINOExecutionProvider | CPUExecutionProvider,OpenVINOExecutionProvider | CPUExecutionProvider,2026-05-23T15:11:39.612374
