mode,avg_latency_ms,std_latency_ms,p95_latency_ms,peak_memory_mb,cpu_utilization_pct,iterations,providers,fallback_to_cpu,profiling_json
baseline,33.6779609999212,8.705934319918578,54.08652999467449,8200.40625,1105.7,100,CPUExecutionProvider,True,C:\Users\yusuf\Projects\npu-graph-opt-benchmarking\results\MPNN\MPNN_int8\run_02\baseline_profiling.json
optimized,33.60355300043011,11.55127872972535,54.555220004112925,8200.40625,1098.6,100,CPUExecutionProvider,True,C:\Users\yusuf\Projects\npu-graph-opt-benchmarking\results\MPNN\MPNN_int8\run_02\optimized_profiling.json
